frame_diff,frame_number,side,Rally,,
1,3096,right,,,
1,3097,right,,,
1,3098,right,,,
6,3104,right,,,
1,3105,right,,,
1,3106,left,,,
1,3107,left,,,
1,3108,left,,,
1,3109,left,,,
1,3110,left,,,
1,3111,left,,,
2,3113,left,,,
1,3114,left,,,
1,3115,left,,,
1,3116,left,,,
1,3118,right,,,
1,3119,right,,,
1,3120,right,,,
1,3121,right,,,
1,3122,right,,,
1,3123,right,,,
1,3124,right,,,
1,3125,right,,,
2,3127,right,,,
1,3128,right,,,
2,3130,right,,,
1,3131,right,,,
1,3132,left,,,
1,3133,left,,,
1,3134,left,,,
1,3135,left,,,
1,3136,left,,,
1,3137,left,,,
1,3138,left,,,
1,3139,left,,,
1,3140,left,,,
2,3142,left,,,
1,3143,left,,,
1,3147,right,,,
1,3148,right,,,
1,3149,right,,,
1,3150,right,,,
1,3151,right,,,
1,3152,right,,,
1,3153,right,,,
1,3154,right,,,
4,3159,right,,,
1,3160,right,,,
1,3161,right,,,
1,3162,right,,,
1,3163,right,,,
1,3164,right,,,
1,3165,right,,,
44,3209,right,,,
10,3219,right,,,
1,3220,right,,,
1,3221,right,,,
1,3222,right,,,
1,3223,right,,,
3,3226,right,,,
9,3235,right,,,
1,3236,right,,,
8,3244,right,,,
362,3606,left,,,
1,3607,left,,,
1,3608,left,,,
1,3609,left,,,
1,3610,left,,,
1,3611,left,,,
1,3613,right,,,
1,3614,right,,,
1,3615,right,,,
1,3616,right,,,
1,3617,right,,,
1,3618,right,,,
1,3619,right,,,
1,3620,right,,,
1,3621,right,,,
3,3624,right,,,
1,3625,right,,,
1,3626,right,,,
1,3627,left,,,
1,3628,left,,,
1,3629,left,,,
1,3630,left,,,
1,3631,left,,,
1,3632,left,,,
1,3633,left,,,
1,3634,left,,,
1,3636,left,,,
1,3637,left,,,
1,3638,left,,,
1,3639,left,,,
1,3641,right,,,
1,3642,right,,,
1,3643,right,,,
1,3644,right,,,
1,3645,right,,,
1,3646,right,,,
1,3647,right,,,
1,3648,right,,,
1,3649,right,,,
2,3651,right,,,
1,3652,right,,,
1,3653,right,,,
1,3654,right,,,
1,3655,right,,,
1,3656,right,,,
1,3657,right,,,
1,3658,left,,,
1,3659,left,,,
1,3660,left,,,
1,3661,left,,,
1,3662,left,,,
1,3663,left,,,
1,3664,left,,,
1,3665,left,,,
1,3666,left,,,
1,3667,left,,,
1,3668,left,,,
2,3672,left,,,
2,3674,left,,,
1,3676,right,,,
1,3677,right,,,
